respondent_id,domain_name,n_visits
10001,abc,100
10001,bbc,80
10001,cbc,70
10001,dbc,60
10001,ebc,60
10001,fbc,60
10001,gbc,20
10001,hbc,10
10001,ibc,4
10001,jbc,2
10001,kbc,2
10001,lbc,1
10001,mbc,1
10001,nbc,1
10001,opc,1
10001,ppc,1
10001,qpc,1
10001,rpc,1
10001,spc,1
10001,tpc,1
10001,upc,1
10001,vpc,1
10001,wpc,1
10002,abc,1000
10002,bbc,608
10002,cbc,200
10002,dbc,200
10002,ecc,10
10002,fcc,10
10002,gcc,7
10002,hcc,7
10002,icc,3
10002,jcc,3
10002,kcc,3
10002,lcc,1
10002,mcc,1
10002,ncc,1
10002,pcc,1
10002,qpcc,1
10002,tpc,1
10002,upc,1
10002,vpc,1
10002,wpc,1
10002,xpc,1
10002,ypc,1
10002,zpc,1
10002,pcp,1
